blocking_key,block_size,sample_names
R,19,"R J REYNOLDS TOBACCO CO, R J REYNOLDS TOBACCO, R P SCHERER TECHNOLOGIES INC"
COLEMAN,19,"COLEMAN CO INC, COLEMAN POWERMATE INC, COLEMAN WORLDWIDE CORP"
MALLINCKRODT,19,"MALLINCKRODT LLC, MALLINCKRODT ENTERPRISES LLC, MALLINCKRODT PHARMACEUTICALS IRELAND LTD"
TRIBUNE,19,"TRIBUNE BROADCASTING CO LLC, TRIBUNE CO, TRIBUNE INTERACTIVE LLC"
KODAK,18,"KODAK AMERICAS LTD, KODAK REALTY INC, KODAK NEAR EAST INC"
QUANTUM,18,"QUANTUM CORP, QUANTUM BRIDGE COMMUNICATIONS INC, QUANTUM MEDICAL IMAGING LLC"
EAGLE,18,"EAGLE INDUSTRIES UNLTD INC, EAGLE MAYAGUEZ LLC, EAGLE NEW BEDFORD INC"
BLUE,18,"BLUE COAT LLC, BLUE RAPIDS RAILWAY CO, BLUE COAT SYSTEMS INC"
INSIGHT,18,"INSIGHT BLOCKER LLC, INSIGHT CAPITAL LLC, INSIGHT COMMUNICATIONS CO LLC"
FIBERVISIONS,18,"FIBERVISIONS PRODUCTS INC A GEORGIA CORP, FIBERVISIONS LP A DELAWARE LTD PARTNERSHIP, FIBERVISIONS INC A DELAWARE CORP"
COMTECH,18,"COMTECH EF DATA CORP, COMTECH MOBILE DATACOM CORP, COMTECH XICOM TECHNOLOGY INC"
NBTY,18,"NBTY MANUFACTURING LLC, NBTY ACQUISITION LLC, NBTY INC"
WORLD,17,"WORLD GOLF TOUR LLC, WORLD PROPERTIES INC, WORLD CLASS CORRUGATING LLC"
FALCON,17,"FALCON CABLE COMMUNICATIONS LLC, FALCON CABLE MEDIA A CALIFORNIA LTD PARTNERSHIP, FALCON CABLE SYSTEMS CO II LP"
A,17,"A & M CLEANING PRODUCTS LLC, A S V INC, A CO ORTHODONTICS"
JOHNSON,17,"JOHNSON LIVERPOOL LLC, JOHNSON CRUSHERS INTERNATIONAL INC, JOHNSON OUTDOORS DIVING LLC"
SUPERIOR,17,"SUPERIOR INDUSTRIES OF MORRIS INC, SUPERIOR TELECOMMUNICATIONS INC, SUPERIOR ENERGY SERVICES LLC"
ELDORADO,17,"ELDORADO FUNDING CO, ELDORADO ACQUISITION LLC, ELDORADO ACQUISITION LLC"
SPARTECH,17,"SPARTECH FCD LLC, SPARTECH POLYCAST INC, SPARTECH POLYCOM TEXAS INC"
MICROSEMI,16,"MICROSEMI CORP, MICROSEMI STORAGE SOLUTIONS INC, MICROSEMI COMMUNICATIONS INC F K A VITESSE SEMICONDUCTOR CORP"
WESTERN,16,"WESTERN DIGITAL TECHNOLOGIES INC, WESTERN DIGITAL FREMONT LLC, WESTERN DIGITAL FREMONT INC"
D,16,"D R C LTD A DELAWARE CORP, D R C LTD, D & M HOLDINGS US INC"
NORTH,16,"NORTH HILLS SIGNAL PROCESSING CORP, NORTH HILLS SIGNAL PROCESSING OVERSEAS LLC, NORTH AMERICAN VACCINE INC"
J,16,"J RAY MCDERMOTT SA, J & D BRUSH CO LLC, J M HUBER CORP"
DRS,16,"DRS SENSORS & TARGETING SYSTEMS INC, DRS INFRARED TECHNOLOGIES LP, DRS ACQUISITION LLC"
ORBCOMM,16,"ORBCOMM INC, ORBCOMM SENS LLC, ORBCOMM LLC"
AEROFLEX,16,"AEROFLEX COLORADO SPRINGS INC, AEROFLEX INC, AEROFLEX PLAINVIEW INC"
PACIFIC,16,"PACIFIC AEROSPACE & ELECTRONICS INC, PACIFIC DATA IMAGES LLC, PACIFIC GAS TURBINE CENTER LLC"
EPM,16,"EPM EMERALD CANADA INC, EPM CAROLINA CHEMICAL HOLDING CORP, EPM FOAM CONTROL HOLDING CORP"
VISHAY,15,"VISHAY INTERTECHNOLOGY INC, VISHAY DALE ELECTRONICS INC, VISHAY SPRAGUE INC"
SPECTRUM,15,"SPECTRUM BRANDS INC, SPECTRUM BRANDS PET GROUP INC, SPECTRUM BRANDS PET LLC"
STERLING,15,"STERLING DIAGNOSTIC IMAGING INC, STERLING CANADA INC, STERLING CHEMICALS ENERGY INC"
BABCOCK,15,"BABCOCK & WILCOX TECHNOLOGY LLC, BABCOCK & WILCOX CO, BABCOCK & WILCOX MEGTEC LLC"
CONTROL,15,"CONTROL LASER CORP D B A BAUBLYS CONTROL LASER, CONTROL DEVICES INC, CONTROL DATA ASIA INC"
PARADIGM,15,"PARADIGM SPINE LLC, PARADIGM GEOPHYSICAL CORP, PARADIGM GEOPHYSICAL LTD"
DEL,15,"DEL MONTE CORP, DEL LABORATORIES INC, DEL MONTE FOODS INC"
API,15,"API TECHNOLOGIES CORP, API CRYPTEK INC, API DEFENSE INC"
IPC,15,"IPC INFORMATION SYSTEMS LLC, IPC FUNDING CORP, IPC INFORMATION SYSTEMS FAR EAST INC"
ARRIS,14,"ARRIS ENTERPRISES LLC, ARRIS SOLUTIONS INC, ARRIS TECHNOLOGY INC"
BAUSCH,14,"BAUSCH & LOMB INC, BAUSCH HEALTH AMERICAS INC, BAUSCH HEALTH US LLC"
BIOMET,14,"BIOMET INC, BIOMET 3I LLC, BIOMET BIOLOGICS LLC"
PROGRESSIVE,14,"PROGRESSIVE GAMES INC, PROGRESSIVE GAMING INTERNATIONAL GROUP LTD, PROGRESSIVE GAMING INTERNATIONAL UK LTD"
ALPHA,14,"ALPHA INDUSTRIES INC, ALPHA TECHNOLOGIES SERVICES LLC, ALPHA ASSEMBLY SOLUTIONS INC F K A ALPHA METALS INC"
CREDIT,14,"CREDIT SUISSE FIRST BOSTON CAYMAN ISLANDS BRANCH, CREDIT SUISSE AG CAYMAN ISLANDS BRANCH, CREDIT SUISSE AG CAYMAN ISLANDS BRANCH"
MEDICAL,14,"MEDICAL DEVICE TECHNOLOGIES INC, MEDICAL ACTION INDUSTRIES INC, MEDICAL RETRO DESIGN INC A DE CORP"
TRIUMPH,14,"TRIUMPH AEROSTRUCTURES LLC, TRIUMPH ENGINE CONTROL SYSTEMS LLC, TRIUMPH ACTUATION SYSTEMS - CONNECTICUT LLC"
SOUTHERN,14,"SOUTHERN CALIFORNIA FOAM INC, SOUTHERN CLAY PRODUCTS INC, SOUTHERN PROGRESS CORP"
SPECIALTY,14,"SPECIALTY MINERALS MICHIGAN INC, SPECIALTY SURGICAL INSTRUMENTATION INC, SPECIALTY PACKING LICENSING CO"
KOPPERS,14,"KOPPERS INDUSTRIES INC, KOPPERS DELAWARE INC, KOPPERS ASIA LLC"
BLACK,14,"BLACK SAND TECHNOLOGIES INC, BLACK DIAMOND EQUIPMENT LTD, BLACK DIAMOND OILFIELD RENTALS LLC"
GLATFELTER,14,"GLATFELTER DRESDEN GMBH, GLATFELTER FALKENHAGEN GMBH, GLATFELTER GERNSBACH GMBH"
PEREGRINE,14,"PEREGRINE PHARMACEUTICALS INC, PEREGRINE FEDERAL SYSTEMS INC, PEREGRINE JACKSON INC"
MOMENTIVE,13,"MOMENTIVE PERFORMANCE MATERIALS INC, MOMENTIVE PERFORMANCE MATERIALS GMBH & CO KG, MOMENTIVE PERFORMANCE MATERIALS HOLDINGS INC"
