component_id,entity_id,standard_name,normalized_name,original_name,frequency,avg_similarity,min_similarity,issues,decision,notes
0,financial_0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK MELLON TRUST CO NA AS JUNIOR NOTES COLLATERAL AGENT,"THE BANK OF NEW YORK MELLON TRUST COMPANY, N.A., AS JUNIOR NOTES COLLATERAL AGENT",5,92.497187276287,88.13559322033898,['Grupo muy grande: 60 nombres'],,
0,financial_0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK,THE BANK OF NEW YORK (AS ADMINISTRATIVE AND COLLATERAL AGENT),40,92.497187276287,88.13559322033898,['Grupo muy grande: 60 nombres'],,
0,financial_0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK TRUST TRUST CO NA,"THE BANK OF NEW YORK TRUST TRUST COMPANY, N.A.",5,92.497187276287,88.13559322033898,['Grupo muy grande: 60 nombres'],,
0,financial_0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK,"BANK OF NEW YORK, THE, AS ADMINISTRATIVE AGENT",62,92.497187276287,88.13559322033898,['Grupo muy grande: 60 nombres'],,
0,financial_0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK TRUST CO NA,"THE BANK OF NEW YORK TRUST COMPANY, N.A.",1155,92.497187276287,88.13559322033898,['Grupo muy grande: 60 nombres'],,
0,financial_0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK MELLON TRUST CO NA,"BANK OF NEW YORK MELLON TRUST COMPANY, N.A., AS COLLATERAL AGENT, THE",8,92.497187276287,88.13559322033898,['Grupo muy grande: 60 nombres'],,
0,financial_0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK MELLON F K A THE BANK OF NEW YORK,THE BANK OF NEW YORK MELLON (F/K/A THE BANK OF NEW YORK),7,92.497187276287,88.13559322033898,['Grupo muy grande: 60 nombres'],,
0,financial_0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK MELLON AS PARITY LIEN COLLATERAL TRUSTEE,"THE BANK OF NEW YORK MELLON, AS PARITY LIEN COLLATERAL TRUSTEE",1,92.497187276287,88.13559322033898,['Grupo muy grande: 60 nombres'],,
0,financial_0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK MELLON AS PRIORITY LIEN COLLATERAL TRUSTEE,"THE BANK OF NEW YORK MELLON, AS PRIORITY LIEN COLLATERAL TRUSTEE",1,92.497187276287,88.13559322033898,['Grupo muy grande: 60 nombres'],,
0,financial_0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK TRUST CO NA,"BANK OF NEW YORK TRUST COMPANY, N.A.",434,92.497187276287,88.13559322033898,['Grupo muy grande: 60 nombres'],,
0,financial_0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK AS SECURED PARTY,"THE BANK OF NEW YORK, AS AGENT, AS SECURED PARTY",1,92.497187276287,88.13559322033898,['Grupo muy grande: 60 nombres'],,
0,financial_0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK MELLON,"THE BANK OF NEW YORK MELLON, AS AGENT",2,92.497187276287,88.13559322033898,['Grupo muy grande: 60 nombres'],,
0,financial_0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK,"THE BANK OF NEW YORK, AS COLLATERAL AGENT",94,92.497187276287,88.13559322033898,['Grupo muy grande: 60 nombres'],,
0,financial_0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK MELLON TRUST CO NA,"THE BANK OF NEW YORK MELLON TRUST COMPANY, N.A., AS COLLATERAL TRUSTEE",7491,92.497187276287,88.13559322033898,['Grupo muy grande: 60 nombres'],,
0,financial_0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK MELLON AS SECOND LIENAGENT,"THE BANK OF NEW YORK MELLON, AS SECOND LIEN AGENT",406,92.497187276287,88.13559322033898,['Grupo muy grande: 60 nombres'],,
0,financial_0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK,THE BANK OF NEW YORK AS COLLATERAL AGENT,6,92.497187276287,88.13559322033898,['Grupo muy grande: 60 nombres'],,
0,financial_0,BANK OF NEW YORK MELLON TRUST CO NA,NEW YORK THE BANK OF,"NEW YORK, THE BANK OF",2,92.497187276287,88.13559322033898,['Grupo muy grande: 60 nombres'],,
0,financial_0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK MELLON,"THE BANK OF NEW YORK MELLON, AS ADMINISTRATIVE AGENT",983,92.497187276287,88.13559322033898,['Grupo muy grande: 60 nombres'],,
0,financial_0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK MELLON,"THE BANK OF NEW YORK MELLON, AS COLLATERAL AGENT",6400,92.497187276287,88.13559322033898,['Grupo muy grande: 60 nombres'],,
0,financial_0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK COMMERCIAL CORP,"BANK OF NEW YORK COMMERCIAL CORPORATION, THE, AS AGENT",19,92.497187276287,88.13559322033898,['Grupo muy grande: 60 nombres'],,
