entity_id,standard_name,normalized_name,original_name,frequency,component_size,avg_similarity,is_correct,notes
financial_311,ATHYRIUM OPPORTUNITIES II ACQUISITION LP,ATHYRIUM OPPORTUNITIES IV ACQUISITION LP,"ATHYRIUM OPPORTUNITIES IV ACQUISITION LP, AS ADMINISTRATIVE AGENT",6,5,97.75925925925928,,
financial_832,AGCOUNTRY FARM CREDIT SERVICES PCA,AGCOUNTRY FARM CREDIT SERVICES PCA,"AGCOUNTRY FARM CREDIT SERVICES, PCA",2,2,95.65217391304348,,
financial_557,LAW DEBENTURE TRUST CO OF NEW YORK,LAW DEBENTURE TRUST CO OF NEW YORK,"LAW DEBENTURE TRUST COMPANY OF NEW YORK, AS AGENT",27,2,100.0,,
financial_72,SILICON VALLEY BANK,SILICON VALLEY BANK FOR THE BENEFIT OF THE LENDERS,SILICON VALLEY BANK AS AGENT FOR THE BENEFIT OF THE LENDERS,4,23,92.21316554649889,,
financial_40,CITIBANK NA,CITIBANK NA,"CITIBANK, N.A., AS SECOND LIEN COLLATERAL AGENT",1,29,95.55610575913089,,
financial_279,CONNECTICUT NATIONAL BANK THE A NATIONAL BANKING ASSOCIATIONAS TRUSTEE,CONNECTICUT BANK & TRUST CO NA THE A NATIONAL BANKING ASSOCIATION,"CONNECTICUT BANK AND TRUST COMPANY, N.A., THE, A NATIONAL BANKING ASSOCIATION",1,18,93.33132929589502,,
financial_294,TEXAS COMMERCE BANK NA,TEXAS COMMERCE BANK NATIONAL ASSOICATION,TEXAS COMMERCE BANK NATIONAL ASSOICATION,17,7,93.2574679943101,,
financial_385,PENA ANGELITA,PENA ANGELITA,"PENA, ANGELITA",76,2,90.0,,
financial_39,WILMINGTON SAVINGS FUND SOCIETY FSB COLLATERAL AGENT,WILMINGTON SAVINGS FUND SOCIETY FSB AS THE CURRENT COLLATERAL AGENT,"WILMINGTON SAVINGS FUND SOCIETY, FSB, AS THE CURRENT COLLATERAL AGENT",3,12,95.13054891851108,,
financial_36,DEUTSCHE BANK TRUST CO AMERICAS,DEUTSCHE BANK TRUST CO AMERICAS,"DEUTSCHE BANK TRUST COMPANY AMERICAS, AS AGENT",429,66,92.9313382346204,,
financial_785,CYPRESS SEMICONDUCTOR CORP BELGIUM BVBA,CYPRESS SEMICONDUCTOR CORPORTION BELGIUM BVBA,CYPRESS SEMICONDUCTOR CORPORTION (BELGIUM) BVBA,1,3,90.95238095238096,,
financial_38,WILMINGTON TRUST NA,WILMINGTON TRUST CO,"WILMINGTON TRUST COMPANY, AS TRUSTEE",192,55,92.26911906559152,,
financial_9,CREDIT LYONNAIS NEW YORK BRANCH,CREDIT LYONNAIS NEW YORK BRANCH IN ITS CAPACITY,"CREDIT LYONNAIS NEW YORK BRANCH, IN ITS CAPACITY AS AGENT",5,4,95.0,,
financial_181,NATIONAL CITY BANK,NATIONAL CITY BANK FOR BANKS,NATIONAL CITY BANK AS AGENT FOR BANKS,3,15,91.78571428571428,,
financial_680,MARANON CAPITAL LP,MARANON CAPITAL LP,"MARANON CAPITAL, L.P.",1,4,100.0,,
