component_id,entity_id,standard_name,normalized_name,original_name,frequency,avg_similarity,min_similarity,issues,decision,notes
165,non_financial_165,WORLD GOLF TOUR LLC,WORLD GOLF TOUR INC,"WORLD GOLF TOUR, INC.",1,89.47368421052632,89.47368421052632,['Similitud promedio baja: 89.5%'],,
165,non_financial_165,WORLD GOLF TOUR LLC,WORLD GOLF TOUR LLC,"WORLD GOLF TOUR, LLC",1612,89.47368421052632,89.47368421052632,['Similitud promedio baja: 89.5%'],,
178,non_financial_178,HEWLETT PACKARD ENTERPRISE CO,HEWLETT PACKARD ENTERPRISE CO,HEWLETT PACKARD ENTERPRISE COMPANY,1263,89.81818181818181,89.81818181818181,['Similitud promedio baja: 89.8%'],,
178,non_financial_178,HEWLETT PACKARD ENTERPRISE CO,HEWLETT PACKARD ENTERPRISE DEVELOPMENT LP,HEWLETT PACKARD ENTERPRISE DEVELOPMENT LP,1263,89.81818181818181,89.81818181818181,['Similitud promedio baja: 89.8%'],,
311,non_financial_311,BRESNAN BROADBAND OF MONTANA LLC,BRESNAN BROADBAND OF MONTANA LLC,"BRESNAN BROADBAND OF MONTANA, LLC",692,88.52459016393442,88.52459016393442,['Similitud promedio baja: 88.5%'],,
311,non_financial_311,BRESNAN BROADBAND OF MONTANA LLC,BRESNAN BROADBAND OF UTAH LLC,"BRESNAN BROADBAND OF UTAH, LLC",692,88.52459016393442,88.52459016393442,['Similitud promedio baja: 88.5%'],,
314,non_financial_314,CC VI OPERATING CO LLC,CC VI OPERATING CO LLC,"CC VI OPERATING COMPANY, LLC",692,88.37209302325581,88.37209302325581,['Similitud promedio baja: 88.4%'],,
314,non_financial_314,CC VI OPERATING CO LLC,CC VIII OPERATING LLC,"CC VIII OPERATING, LLC",692,88.37209302325581,88.37209302325581,['Similitud promedio baja: 88.4%'],,
317,non_financial_317,FALCON CABLE MEDIA A CALIFORNIA LTD PARTNERSHIP,FALCON CABLEVISION A CALIFORNIA LTD PARTNERSHIP,"FALCON CABLEVISION, A CALIFORNIA LIMITED PARTNERSHIP",692,89.20752389762565,89.13043478260869,['Similitud promedio baja: 89.2%'],,
317,non_financial_317,FALCON CABLE MEDIA A CALIFORNIA LTD PARTNERSHIP,FALCON TELECABLE A CALIFORNIA LTD PARTNERSHIP,"FALCON TELECABLE, A CALIFORNIA LIMITED PARTNERSHIP",692,89.20752389762565,89.13043478260869,['Similitud promedio baja: 89.2%'],,
317,non_financial_317,FALCON CABLE MEDIA A CALIFORNIA LTD PARTNERSHIP,FALCON CABLE MEDIA A CALIFORNIA LTD PARTNERSHIP,"FALCON CABLE MEDIA, A CALIFORNIA LIMITED PARTNERSHIP",692,89.20752389762565,89.13043478260869,['Similitud promedio baja: 89.2%'],,
341,non_financial_341,BLUEGRASS FLEXIBLE PACKAGING CO LLC,BLUEGRASS FLEXIBLE PACKAGING CO LLC,"BLUEGRASS FLEXIBLE PACKAGING COMPANY, LLC.",76,88.21428571428571,88.21428571428571,['Similitud promedio baja: 88.2%'],,
341,non_financial_341,BLUEGRASS FLEXIBLE PACKAGING CO LLC,BLUEGRASS CVI PACKAGING CO LLC,"BLUEGRASS/CVI PACKAGING COMPANY, LLC",15,88.21428571428571,88.21428571428571,['Similitud promedio baja: 88.2%'],,
346,non_financial_346,WELLS FARGO BUSINESS CREDIT INC,WELLS FARGO BUSINESS CREDIT A CA CORP,"WELLS FARGO BUSINESS CREDIT, A CA CORP.",2,88.44827586206895,88.44827586206895,['Similitud promedio baja: 88.4%'],,
346,non_financial_346,WELLS FARGO BUSINESS CREDIT INC,WELLS FARGO BUSINESS CREDIT INC,"WELLS FARGO BUSINESS CREDIT, INC.",7,88.44827586206895,88.44827586206895,['Similitud promedio baja: 88.4%'],,
350,non_financial_350,INTEGRATED DNA TECHNOLOGIES INC,INTEGRATED DNA TECHNOLOGIES INC,"INTEGRATED DNA TECHNOLOGIES, INC.",5,88.44827586206895,88.44827586206895,['Similitud promedio baja: 88.4%'],,
350,non_financial_350,INTEGRATED DNA TECHNOLOGIES INC,INTEGRATED TECHNOLOGIES & SYSTEMS INC,"INTEGRATED TECHNOLOGIES AND SYSTEMS, INC.",1,88.44827586206895,88.44827586206895,['Similitud promedio baja: 88.4%'],,
376,non_financial_376,VIAVI SOLUTIONS INC,VIAVI SOLUTIONS INC,VIAVI SOLUTIONS INC.,563,89.47368421052632,89.47368421052632,['Similitud promedio baja: 89.5%'],,
376,non_financial_376,VIAVI SOLUTIONS INC,VIAVI SOLUTIONS LLC,VIAVI SOLUTIONS LLC,563,89.47368421052632,89.47368421052632,['Similitud promedio baja: 89.5%'],,
379,non_financial_379,PRATT & WHITNEY ROCKETDYNE INC,PRATT & WHITNEY ROCKETDYNE INC,"PRATT & WHITNEY ROCKETDYNE, INC.",556,89.02439024390245,88.04878048780488,['Similitud promedio baja: 89.0%'],,
379,non_financial_379,PRATT & WHITNEY ROCKETDYNE INC,PRATT & WHITNEY CO INC,"PRATT & WHITNEY COMPANY INC., THE",6,89.02439024390245,88.04878048780488,['Similitud promedio baja: 89.0%'],,
379,non_financial_379,PRATT & WHITNEY ROCKETDYNE INC,PRATT & WHITNEY CO INC THE A CORP OF OH,"PRATT & WHITNEY COMPANY, INC., THE, A CORP. OF OH",8,89.02439024390245,88.04878048780488,['Similitud promedio baja: 89.0%'],,
394,non_financial_394,FORT LIVESTOCK SYSTEM INC A CORP OF WI,FORT LIVESTOCK SYSTEMS INC A WI CORP,"FORT LIVESTOCK SYSTEMS, INC., A WI CORP.",2,89.86486486486486,89.86486486486486,['Similitud promedio baja: 89.9%'],,
394,non_financial_394,FORT LIVESTOCK SYSTEM INC A CORP OF WI,FORT LIVESTOCK SYSTEM INC A CORP OF WI,"FORT LIVESTOCK SYSTEM, INC., A CORP. OF WI",2,89.86486486486486,89.86486486486486,['Similitud promedio baja: 89.9%'],,
396,non_financial_396,GEORGIA-PACIFIC ASIA INC,GEORGIA-PACIFIC ASIA INC,"GEORGIA-PACIFIC ASIA, INC.",503,88.0,88.0,['Similitud promedio baja: 88.0%'],,
396,non_financial_396,GEORGIA-PACIFIC ASIA INC,GEORGIA-PACIFIC RESINS INC,"GEORGIA-PACIFIC RESINS, INC.",503,88.0,88.0,['Similitud promedio baja: 88.0%'],,
