ee_name,freq,entity_id,standard_name
"CITIBANK, N.A., AS NOTES COLLATERAL AGENT",9716,financial_251,CITIBANK NA
"WILMINGTON TRUST, NATIONAL ASSOCIATION, AS NOTES COLLATERAL AGENT",9564,financial_1111,WILMINGTON NA
"BANK ONE, NA, AS ADMINISTRATIVE AGENT",9039,financial_113,BANK ONE NA
"HPS INVESTMENT PARTNERS, LLC, AS COLLATERAL AGENT",8698,financial_559,HPS INVESTMENT PARTNERS LLC
"BANK OF AMERICA, N.A., AS AGENT",8545,financial_43,BANK OF AMERICA NA
"GENERAL ELECTRIC CAPITAL CORPORATION, AS AGENT",8402,financial_482,GENERAL ELECTRIC CAPITAL CORP
DEUTSCHE BANK AG NEW YORK BRANCH,8176,financial_350,DEUTSCHE BANK
UAW RETIREE MEDICAL BENEFITS TRUST,8001,financial_2692,UAW RETIREE MEDICAL BENEFITS TRUST
"WILMINGTON TRUST COMPANY, AS COLLATERAL AGENT",7517,financial_1111,WILMINGTON NA
"THE BANK OF NEW YORK MELLON TRUST COMPANY, N.A., AS COLLATERAL TRUSTEE",7491,financial_102,BANK OF NEW YORK MELLON
GENERAL ELECTRIC CAPITAL CORPORATION,6978,financial_482,GENERAL ELECTRIC CAPITAL CORP
JEFFERIES FINANCE LLC,6931,financial_599,JEFFERIES FINANCE LLC
"MORGAN STANLEY SENIOR FUNDING, INC. AS THE COLLATERAL AGENT",6760,financial_731,MORGAN STANLEY SENIOR FUNDING
"JPMORGAN CHASE BANK,N.A,AS ADMINISTRATIVE AGENT",6734,financial_605,JP MORGAN CHASE BANK NA
"JPMORGAN CHASE BANK, N.A. AS ADMINISTRATIVE AGENT",6596,financial_605,JP MORGAN CHASE BANK NA
"CITICORP USA, INC. AS AGENT FOR BANK PRIORITY SECURED PARTIES",6594,financial_5518,CITICORP NORTH AMERICA
"CITICORP USA, INC. AS AGENT FOR HEDGE PRIORITY SECURED PARTIES",6594,financial_5518,CITICORP NORTH AMERICA
"THE BANK OF NEW YORK MELLON, AS COLLATERAL AGENT",6400,financial_102,BANK OF NEW YORK MELLON
ALTER DOMUS (US) LLC,6311,financial_38,ALTER DOMUS US LLC
"JPMORGAN CHASE BANK, N.A., AS AGENT",5757,financial_605,JP MORGAN CHASE BANK NA
"BANK OF AMERICA, N. A.",5602,financial_43,BANK OF AMERICA NA
"JEFFERIES FINANCE LLC, AS COLLATERAL AGENT",5426,financial_599,JEFFERIES FINANCE LLC
"CITICORP USA, INC., AS ADMINISTRATIVE AGENT",5340,financial_5518,CITICORP NORTH AMERICA
"CITIBANK, N.A., AS AGENT",5202,financial_251,CITIBANK NA
MANUFACTURERS AND TRADERS TRUST COMPANY,5163,financial_668,MANUFACTURERS & TRADERS
ROYAL BANK OF CANADA,5154,financial_900,ROYAL BANK OF CANADA
"THE BANK OF NOVA SCOTIA, AS ADMINISTRATIVE AGENT",5004,financial_110,BANK OF NOVA SCOTIA
BANKERS TRUST COMPANY,4988,financial_120,BANKERS
"BANK OF AMERICA, N.A, AS COLLATERAL AGENT",4800,financial_43,BANK OF AMERICA NA
"JPMORGAN CHASE BANK, N.A., AS ADMINISTRATIVE AGENT AND FIRST PRIORITY REPRESENTATIVE",4773,financial_605,JP MORGAN CHASE BANK NA
"WELLS FARGO BANK, NATIONAL ASSOCIATION, AS COLLATERAL AGENT AND SECOND PRIORITY REPRESENTATIVE",4773,financial_1103,WELLS FARGO BANK NA
"TRUIST BANK, AS NOTES COLLATERAL AGENT",4470,financial_1053,TRUIST BANK
"WILMINGTON SAVINGS FUND SOCIETY, FSB [COLLATERAL AGENT]",4280,financial_1110,WILMINGTON SAVINGS FUND SOCIETY FSB COLLATERAL AGENT
"JPMORGAN CHASE BANK, N.A., AS THE ADMINISTRATIVE AGENT",4259,financial_605,JP MORGAN CHASE BANK NA
"U.S. BANK, NATIONAL ASSOCIATION, AS COLLATERAL AGENT",4224,financial_3,US BANK NA
"THE BANK OF NEW YORK MELLON, AS NOTES COLLATERAL AGENT",4200,financial_102,BANK OF NEW YORK MELLON
JPMORGAN CHASE BANK,4188,financial_605,JP MORGAN CHASE BANK NA
CREDIT SUISSE AG,4185,financial_309,CREDIT SUISSE
"GACP FINANCE CO., LLC",4049,financial_463,GACP FINANCE CO LLC
"CREDIT SUISSE, CAYMAN ISLANDS BRANCH, AS COLLATERAL AGENT",3988,financial_309,CREDIT SUISSE
BANK OF AMERICA NATIONAL TRUST AND SAVINGS ASSOCIATION,3948,financial_43,BANK OF AMERICA NA
"THE BANK OF NEW YORK MELLON TRUST COMPANY, N.A.,",3927,financial_102,BANK OF NEW YORK MELLON
"UBS AG, STAMFORD BRANCH, AS COLLATERAL AGENT",3907,financial_1062,UBS STAMFORD
"GLAS AMERICAS LLC, AS THE SUCCESSOR AGENT",3840,financial_489,GLAS AMERICAS
"MORGAN GUARANTY TRUST COMPANY OF NEW YORK, AND MORGAN BANK ( DELAWARE ) AS COLLATERAL ( AGENTS ) SEE RECORD FOR THE REMAINING ASSIGNEES.",3820,financial_730,MORGAN GUARANTY OF NEW YORK & MORGAN BANK DELAWARE S SEE RECORD FOR THE REMAINING ASSIGNEES
"THE CHASE MANHATTAN BANK, AS COLLATERAL AGENT",3767,financial_231,CHASE MANHATTAN BANK
"U.S. BANK TRUST COMPANY, NATIONAL ASSOCIATION",3551,financial_3,US BANK NA
"JPMORGAN, N.A.",3520,financial_605,JP MORGAN CHASE BANK NA
"CAPITAL ONE, NATIONAL ASSOCIATION, AS ADMINISTRATIVE AGENT",3449,financial_204,CAPITAL ONE NA
"WELLS FARGO TRUST COMPANY, N.A.",3404,financial_1103,WELLS FARGO BANK NA
"ALLY BANK, AS COLLATERAL AGENT",3344,financial_34,ALLY BANK
"CITIZENS BANK, N.A.",3225,financial_254,CITIZENS BANK NA
"CREDIT SUISSE FIRST BOSTON, AS COLLATERAL AGENT",3133,financial_309,CREDIT SUISSE
"DEUTSCHE BANK TRUST COMPANY AMERICAS, AS COLLATERAL TRUSTEE",3093,financial_350,DEUTSCHE BANK
"ATLANTIC PARK STRATEGIC CAPITAL FUND, L.P., AS COLLATERAL AGENT",3038,financial_1701,ATLANTIC PARK STRATEGIC CAPITAL FUND LP
"WELLS FARGO CAPITAL FINANCE, LLC, AS AGENT",3034,financial_1103,WELLS FARGO BANK NA
CREDIT SUISSE FIRST BOSTON,2918,financial_309,CREDIT SUISSE
"JPMORGAN CHASE BANK, N.A., AS ADMINISTRATIVE AGENT AND COLLATERAL AGENT",2842,financial_605,JP MORGAN CHASE BANK NA
"BANK OF AMERICA, N.A. AS ADMINISTRATIVE AGENT",2753,financial_43,BANK OF AMERICA NA
"ROYAL BANK OF CANADA, AS THE COLLATERAL AGENT",2718,financial_900,ROYAL BANK OF CANADA
"HSBC BANK USA, NATIONAL ASSOCIATION",2669,financial_560,HSBC BANK USA NA
"OT PATENT ESCROW, LLC",2526,financial_5318,OT PATENT ESCROW LLC
"BANK OF AMERICA, N.A., AS ADMINISTRATIVE AGENT FOR THE SECURED PARTIES",2418,financial_43,BANK OF AMERICA NA
"BANK OF NEW YORK MELLON TRUST COMPANY, N.A., THE",2361,financial_102,BANK OF NEW YORK MELLON
THE BANK OF NEW YORK MELLON,2344,financial_102,BANK OF NEW YORK MELLON
"CITIBANK N.A., AS ADMINISTRATIVE AGENT",2292,financial_251,CITIBANK NA
"LEHMAN COMMERCIAL PAPER INC., AS COLLATERAL AGENT",2234,financial_644,LEHMAN COMMERCIAL PAPER
"COMERICA BANK, AS AGENT",2167,financial_117,COMERICA BANK
"GLAS AMERICAS LLC, AS COLLATERAL AGENT",2131,financial_489,GLAS AMERICAS
"THE BANK OF NEW YORK MELLON TRUST COMPANY, N.A., AS SECOND LIEN AGENT",2100,financial_102,BANK OF NEW YORK MELLON
"WELLS FARGO FOOTHILL, INC.",2022,financial_1103,WELLS FARGO BANK NA
"SILICON VALLEY BANK, AS ADMINISTRATIVE AGENT",1998,financial_950,SILICON VALLEY BANK
"PNC BANK, NATIONAL ASSOCIATION, AS AGENT",1992,financial_846,PNC BANK NA
"BANK OF NEW YORK, THE",1925,financial_102,BANK OF NEW YORK MELLON
FOOTHILL CAPITAL CORPORATION,1921,financial_453,FOOTHILL CAPITAL CORP
"WACHOVIA CAPITAL FINANCE CORPORATION (CENTRAL), AS ADMINISTRATIVE AGENT",1921,financial_1092,WACHOVIA CAPITAL FINANCE CORP CENTRAL
"CERBERUS BUSINESS FINANCE, LLC, AS COLLATERAL AGENT",1909,financial_226,CERBERUS BUSINESS FINANCE LLC
"BANK OF AMERICA, N.A. AS COLLATERAL AGENT",1759,financial_43,BANK OF AMERICA NA
"HSBC BANK USA, NATIONAL ASSOCIATION, AS ADMINISTRATIVE AGENT",1726,financial_560,HSBC BANK USA NA
MACQUARIE US TRADING LLC,1701,financial_660,MACQUARIE US TRADING LLC
"GOLDMAN SACHS LENDING PARTNERS LLC, AS COLLATERAL AGENT",1698,financial_502,GOLDMAN SACHS LENDING PARTNERS LLC
