or_name,freq
SPRAGUE ELECTRIC COMPANY,170
"VISHAY EFI, INC.",170
"VISHAY GENERAL SEMICONDUCTOR, INC.",170
"VISHAY-DALE, INC.",170
VISHAY-SILICONIX,170
"VISHAY-SILICONIX, INC.",170
ARTHROCARE CORPORATION,169
"CALSPAN AERO SYSTEMS ENGINEERING, INC.",169
"CALSPAN SYSTEMS, LLC",169
HI-LEX LLC,169
"HOSCO FITTINGS, LLC",169
KIK INTERNATIONAL LLC,169
VIRTU ITG SOFTWARE SOLUTIONS LLC,169
CARLISLE FLUID TECHNOLOGIES UK LIMITED,168
"CARLISLE FLUID TECHNOLOGIES, LLC",168
CONVATEC INC.,168
CONVATEC TECHNOLOGIES INC.,168
"INTEGRATED DISPENSE SOLUTIONS, LLC",168
"MANAN MEDICAL PRODUCTS, INC.",168
"BANK OF AMERICA, N.A.",167
LTX-CREDENCE CORPORATION,167
"MILACRON INDUSTRIAL PRODUCTS, INC.",167
"TALBOT HOLDINGS, LTD.",167
TRIMAS INTERNATIONAL HOLDINGS LLC,167
UNIVERSAL ELECTRONICS INC.,167
VALENITE U.S.A. INC.,167
"VALENITE, INC.",167
"VONAGE BUSINESS SOLUTIONS, INC.",167
AFFINIA GROUP INC.,166
ARCTIC CAT INC.,166
"ASTEC INDUSTRIES, INC.",166
"HARCO LABORATORIES, INCORPORATED (N/K/A HARCOSEMCO LLC)",166
MANNKIND LLC,166
SYMMETRY MEDICAL INC.,166
"WORLD PROPERTIES, INC.",166
"BABCOCK & WILCOX MEGTEC, LLC",165
CIRTEC MEDICAL CORP.,165
"DIAMOND POWER INTERNATIONAL, LLC",165
"EXCEL TECHNOLOGY, INC.",165
"MASON ELECTRIC, CO.",165
"MIDCAP FUNDING X TRUST (AS SUCCESSOR BY ASSIGNMENT FROM MIDCAP FUNDING IV TRUST, AS SUCCESSOR BY ASSIGNMENT FROM MIDCAP FINANCIAL TRUST), AS EXISTING ADMINISTRATIVE AGENT",165
"NEUSTAR, INC.",165
"CAMBRIDGE TECHNOLOGY, INC.",164
CHOLESTECH CORPORATION,164
"DAYCO PRODUCTS, LLC, AS SUCCESSOR-IN-INTEREST TO DAYCO PRODUCTS, INC.",164
"INTERNATIONAL AUTOMOTIVE COMPONENTS GROUP NORTH AMERICA, INC., A DELAWARE CORPORATION",164
"MODINE, INC.",164
"SYNRAD, INC.",164
"TANTIVY COMMUNICATIONS, INC.",164
"CONTINUUM ELECTRO-OPTICS, INC.",163
CONTROL LASER CORPORATION (D/B/A BAUBLYS CONTROL LASER),163
CP FILMS INC.,163
"GAF CHEMICALS CORPORATION, A CORP. OF DE",163
LUCENT TECHNOLOGIES INC.,163
MES INTERNATIONAL INC.,163
MICROE SYSTEMS CORP.,163
"ROADTEC, INC.",163
"SEASPINE, INC.",163
"SIMULA, INC.",163
TEXTRON AUTOMOTIVE INTERIORS INC.,163
THE OPTICAL CORPORATION,163
"WESTERN DIGITAL CORPORATION, A DELAWARE CORPORATION",163
"AAVID THERMALLOY, LLC",162
"ADA-ES, INC.",162
IDEAL POWER INC.,162
"PONY INDUSTRIES, INC.",162
"BURROUGHS PAYMENT SYSTEMS, INC.",161
"ISCHEMIA TECHNOLOGIES, INC.",161
NEWPAGE CORPORATION,161
"NEXTEL COMMUNICATIONS, INC.",161
"PINNACLE SYSTEMS, INC.",161
PTC INC.,161
"ROKU, INC.",161
"CROWN PACKAGING TECHNOLOGY, INC.",160
INNOVATIVE MOLDING,160
"JOSLYN SUNBANK COMPANY, LLC",160
"LIFETIME INDUSTRIES, INC.",160
"LTI FLEXIBLE PRODUCTS, INC.",160
"SOURIAU USA, INC.",160
AIRNET COMMUNICATIONS CORPORATION,159
"AMERICAN ENTERPRISES MPT HOLDINGS, L.P.",159
"AMERIDRIVES INTERNATIONAL, L.P.",159
COLTEC INDUSTRIES INC.,159
FOOTHILL CAPITAL CORPORATION,159
"SANDUSKY PLASTICS, INC.",159
VISKASKE CORPORATION,159
WALBRO CORPORATION,159
"ATRICURE, LLC",158
"BABCOCK & WILCOX UNIVERSAL, INC.",158
"COLORLINK, INC.",158
"ENDOSCOPIC TECHNOLOGIES, LLC",158
"JEFFERIES FINANCE LLC, AS COLLATERAL AGENT",158
MIKOHN NEVADA,158
"NUVENTIX, INC.",158
"REALD HOLDINGS, INC",158
"REALD LUXE, LLC",158
"REALD SPARK, LLC",158
"RHOMBUS INTERMEDIATE HOLDINGS, LP",158
"ROVCAL, INC.",158
GX TECHNOLOGY CORPORATION,157
"I/O MARINE SYSTEMS, INC.",157
"ION EXPLORATION PRODUCTS (U.S.A.), INC.",157
ION GEOPHYSICAL CORPORATION,157
LINVATEC CORPORATION,157
"MEGTEC TURBOSONIC TECHNOLOGIES, INC.",157
"OSI, SPECIALTIES, INC.",157
"ASPECT SOFTWARE PARENT, INC.",156
"CREDIT SUISSE AG, CAYMAN ISLANDS BRANCH",156
DAVOX INTERNATIONAL HOLDINGS LLC,156
KEMET BLUE POWDER CORPORATION,156
MICROSEMI CORP.-ANALOG MIXED SIGNAL GROUP,156
MICROSEMI FREQUENCY AND TIME CORPORATION,156
MICROSEMI SOC CORP.,156
"SIGMATEL, INC.",156
"TI GROUP AUTOMOTIVE SYSTEMS, L.L.C.",156
VOICEOBJECTS HOLDINGS INC.,156
"VOXEO PLAZA TEN, LLC",156
"ASTEC, INC.",155
"CIRCOR AEROSPACE, INC.",155
"CIRCOR INTERNATIONAL, INC.",155
"CYBEX INTERNATIONAL, INC.",155
"SILVER POINT FINANCE, LLC",155
"SPX FLOW, INC.",155
"TII INDUSTRIES, INC.",155
VEECO INSTRUMENTS INC.,155
"ISCO INTERNATIONAL, INC.",154
"KMT WATERJET SYSTEMS, INC.",154
REXNORD INC.,154
"AMPHENOL CORPORATION, A CORPORATION OF DE",153
"ANGIOTECH PHARMACEUTICALS, INC.",153
"BANKERS TRUST COMPANY, AS COLLATERAL TRUSTEE",153
"ROYAL ADHESIVES AND SEALANTS, LLC",153
BARRY WRIGHT CORPORATION,152
COMPUWARE CORPORATION,152
GENTHERM INCORPORATED,152
"MISONIX OPCO, INC.",152
WIX FILTRATION CORP. LLC,152
"APPLIED BIOTECH, INC.",151
"CYNOSURE, INC.",151
"MAGNACHIP SEMICONDUCTOR, LTD.",151
"PHOTRONICS, INC.",151
"U.S. BANK NATIONAL ASSOCIATION, AS TRUSTEE",151
VONAGE BUSINESS SOLUTIONS INC.,151
AB TECHNOLOGIES LLC,150
"AMYRIS CLEAN BEAUTY, INC.",150
"AMYRIS FUELS, LLC",150
ANDREW LLC,150
"COMPATIBLE MEMORY, INC.",150
HADCO CORPORATION,150
"HADCO SANTA CLARA, INC.",150
"INTERAGENCY, INC.",150
"PROOFPOINT, INC.",150
"PROVECTUS BIOTECH, INC.",150
"PURE-IFIC, INC.",150
SANMINA-SCI CORPORATION,150
"SCI SYSTEMS, INC.",150
"SCI TECHNOLOGY, INC.",150
"SCIMEX, INC.",150
"SENVID, INC.",150
"CODE SYSTEMS, INC.",149
"OMNOVA SOLUTIONS, INC.",149
"SPARTEC, INC.",149
"ALERE SAN DIEGO, INC.",148
"BINAX, INC.",148
"COOPER-STANDARD INDUSTRIAL AND SPECIALTY GROUP, LLC",148
"KCI INTERNATIONAL, INC.",148
"NEUSTAR INFORMATION SERVICES, INC.",148
"NEUSTAR IP INTELLIGENCE, INC.",148
OPEN TEXT CORPORATION,148
"SMP COMPANY, INCORPORATED",148
VIRTU COMPANY,148
"WAYNE FUELING SYSTEMS, LLC",148
"BARCLAYS BANK PLC, AS EXISTING ADMINISTRATIVE AGENT, EXISTING SWING LINE LENDER AND EXISTING L/C ISSUER",147
"KLIPSCH GROUP, INC.",147
"MCDERMOTT, INC.",147
"TTM TECHNOLOGIES, INC.",147
"ZURN INDUSTRIES, INC.",147
"ADAPTIVE OPTICS ASSOCIATES, INC.",146
"COLEMAN POWERMATE, INC.",146
"FTI CONSULTING, INC.",146
"HEMOSENSE, INC.",146
"INTERNATIONAL AUTOMOTIVE COMPONENTS GROUP NORTH AMERICA, INC., AS GRANTOR",146
"IT'S GREEK TO ME, INC.",146
MAIDENFORM LLC,146
QUANTUM CORP.,146
SYNAPTICS INCORPROATED,146
WIX FILTRATION CORP LLC,146
ALERE MEDICAL INCORPORATED,145
AMEDITECH INC.,145
"KEY TECHNOLOGY, INC.",145
"PSC, INC.",145
"PSI SYSTEMS, INC.",145
ADVANTAGE DIAGNOSTICS CORPORATION,144
"ALERE SCARBOROUGH, INC.",144
"AUDATEX NORTH AMERICA, LLC (F/K/A AUDATEX NORTH AMERICA, INC.)",144
"CLAIMS SERVICES GROUP, LLC",144
"COMDISCO VENTURES, INC.",144
DMEAUTOMOTIVE LLC,144
EDRIVING FLEET LLC,144
"ENSERVIO, LLC (F/K/A ENSERVIO, INC.)",144
FINANCE EXPRESS LLC,144
"GENECARE MEDICAL GENETICS CENTER, INC.",144
GENEREX PHARMACEUTICALS INC.,144
"HYPERQUEST, LLC (F/K/A HYPERQUEST, INC.)",144
"INSTANT TECHNOLOGIES, INC.",144
INVERNESS MEDICAL - BIOSTAR INC.,144
IPASS IP LLC,144
"MARTIA HEALTHCARE, INC.",144
"MATRITECH, INC.",144
MICRO FOCUS LLC,144
"MOBILE PRODUCTIVITY, LLC",144
"OLD WSR, INC.",144
"ROADNET TECHNOLOGIES, INC.",144
"SEE PROGRESS, LLC (F/K/A SEE PROGRESS, INC.)",144
"SMARTDRIVE SYSTEMS, INC.",144
"SOLERA HOLDINGS, LLC (F/K/A SOLERA HOLDINGS, INC.)",144
TASCO OPTICS CORPORATION,144
"TECHNUITY, INC.",144
ZYCARE INC.,144
BAUSCH HEALTH COMPANIES INC.,143
GLEASON CUTTING TOOLS CORPORATION,143
"LIVEWIRE MOBILE, INC.",143
"MODINE ECD, INC.",143
NOVELIS CORPORATION,143
"ONDEO NALCO ENERGY SERVICES, L.P.",143
"PRINTRONIX, INC.",143
SEASPINE ORTHOPEDICS CORPORATION,143
WINCHESTER ELECTRONICS CORPORATION,143
"ADVANCED SATELLITE RESEARCH, LLC",142
"DAYCO PRODUCTS, LLC",142
DEUTSCHE BANK AG NEW YORK BRANCH,142
ECHOSTAR 77 CORPORATION,142
ECHOSTAR GOVERNMENT SERVICES L.L.C.,142
ECHOSTAR ORBITAL L.L.C.,142
ECHOSTAR SATELLITE OPERATING CORPORATION,142
ECHOSTAR SATELLITE SERVICES L.L.C.,142
EH HOLDING CORPORATION,142
"HELIUS ACQUISITION, LLC",142
"HELIUS, LLC",142
HNS FINANCE CORP.,142
"HNS LICENSE SUB, LLC",142
"HNS REAL ESTATE, LLC",142
"HNS-INDIA VSAT, INC.",142
"HNS-SHANGHAI, INC.",142
"HUGHES COMMUNICATIONS, INC.",142
HUGHES NETWORK SYSTEMS INTERNATIONAL SERVICE COMPANY,142
"NRD, LLC",142
SCIENTIFIC GAMES CORPORATION,142
AEHR TEST SYSTEMS,141
"ISOTIS ORTHOBIOLOGICS, INC.",141
LOJACK CORPORATION,141
"C&K COMPONENTS, INC.",140
"LEIDOS, INC.",140
"DRESSER CHINA, INC.",139
"DRESSER HOLDINGS, INC.",139
HUNTSMAN INTERNATIONAL LLC,139
"INVACARE CANDIAN HOLDINGS, LLC",139
"KIOR, INC.",139
LVF HOLDING CORPORATION,139
"NEOGRAF SOLUTIONS, LLC",139
"TASCO HOLDINGS, INC.",139
"WLR RECOVERY FUND IV, L.P.",139
ANGELS ACQUISITION CORP.,138
"ARMER COMMUNICATIONS ENGINEERING SERVICES, INC.",138
"BUSHNELL GROUP HOLDINGS, INC.",138
"COMTECH AEROASTRO, INC.",138
"COMTECH ANTENNA SYSTEMS, INC.",138
COMTECH COMMUNICATIONS CORP.,138
"COMTECH COMSTREAM, INC.",138
COMTECH CPI ELECTRON DEVICES CORP.,138
COMTECH CPI MICROWAVE CORP.,138
COMTECH PST CORP.,138
"COMTECH SYSTEMS INTERNATIONAL, INC.",138
"COMTECH SYSTEMS, INC.",138
COMTECH TELECOMMUNICATIONS CORP.,138
"COMTECH TOLT TECHNOLOGIES, INC.",138
"DELTATECH CONTROLS, INC.",138
EUTICALS INC.,138
"INTERNATIONAL STEEL GROUP, INC.",138
"LJ SWITCH HOLDINGS 1, LLC",138
"LJ SWITCH HOLDINGS 2, LLC",138
"LJ SWITCH SANTA ANA, LLC",138
"LJ SWITCH SHAKOPEE, LLC",138
"LJ SWITCH US HOLDINGS, INC.",138
"LJ SWITCH US, LLC",138
MAPLE ACQUISITION LLC,138
"MICRODATA GIS, INC.",138
"MICRODATA, LLC",138
"NEXTGEN COMMUNICATIONS, INC., A CORPORATION OF MARYLAND",138
"NEXTGEN COMMUNICATIONS, INC., A CORPORATION OF VIRGINIA",138
OLIVE ACQUISITION LLC,138
"STRONGARM, LLC",138
"TIERNAN RADYNE COMSTREAM, INC.",138
WARREN PUMPS INC.,138
WLR BURLINGTON FINANCE ACQUISITION LLC,138
"AMERICAN MEDICAL INSTRUMENTS HOLDINGS, INC.",137
"ANGIOTECH AMERICA, INC.",137
ANGIOTECH BIOCOATINGS CORP.,137
"ANGIOTECH INTERNATIONAL HOLDINGS, CORP.",137
"B.G. SULZLE, INC.",137
HILEX POLY CO. LLC,137
"QUILL MEDICAL, INC.",137
"SORVALL PRODUCTS, L.P.",137
VOXX INTERNATIONAL CORPORATION,137
BALL SCREWS AND ACTUATORS CO. INC.,136
COBALT HOLDING COMPANY,136
COBALT MERGER CORP.,136
"CP KELCO U.S., INC.",136
D-M-E U.S.A. INC.,136
"DAISY SYSTEMS INTERNATIONAL, INC.",136
"ESEX GROUP, INC.",136
GENICOM CORPORATION,136
"INTERGRAPH (ITALIA), LLC",136
"INTERGRAPH ASIA PACIFIC, INC.",136
"INTERGRAPH CHINA, INC.",136
"INTERGRAPH COMPUTER SYSTEMS HOLDING, INC.",136
INTERGRAPH DC CORPORATION - SUBSIDIARY 3,136
"INTERGRAPH DISC, INC.",136
"INTERGRAPH EUROPEAN MANUFACTURING, LLC",136
INTERGRAPH HARDWARE TECHNOLOGIES COMPANY,136
INTERGRAPH PROPERTIES COMPANY,136
INTERGRAPH SERVICES COMPANY,136
INTERGRAPH SOFTWARE TECHNOLOGIES COMPANY,136
"M & S COMPUTING INVESTMENTS, INC.",136
"OAK INTERNATIONAL, INC.",136
"RAWLINGS SPORTING GOODS COMPANY, INC.",136
THOMSON LINEAR LLC,136
"VITAL SIGNS, INC.",136
"WORLDWIDE SERVICES, INC.",136
Z/I IMAGING CORPORATION,136
"COMARCO WIRELESS TECHNOLOGIES, INC.",135
COPELAND COLD CHAIN LP,135
KWIKSET CORPORATION,135
"PRICE PFISTER, INC.",135
SOCIETE GENERALE,135
AUCTANE LLC,134
HUNTSMAN ICI CHEMICALS LLC,134
INNOVATIVE WATER CARE GLOBAL CORPORATION,134
"MCDERMOTT INTERNATIONAL, INC.",134
MIKE'S HOLDING COMPANY,134
"MONARCH MARKING SYSTEMS, INC., A CORP. OF DE",134
"PITTSBURGH GLASS WORKS, LLC",134
R.J. REYNOLDS TOBACCO,134
"READ-RITE CORPORATION, A DELAWARE CORPORATION",134
"RESPIRONICS, INC.",134
THE GOODYEAR TIRE & RUBBER COMPANY,134
"AESDEX, LLC",133
"ALTRA INDUSTRIAL MOTION, INC.",133
"AMERIDRIVES INTERNATIONAL, LLC",133
CAPSTONE TURBINE CORPORATION,133
"GENERAL DATACOMM, INC.",133
"MERIDIAN MEDICAL TECHNOLOGIES, INC.",133
SWEETHEART CUP COMPANY INC.,133
"BABCOCK & WILCOX POWER GENERATION GROUP, INC. (TO BE RENAMED THE BABCOCK AND WILCOX COMPANY)",132
"DOUBLE BULL ARCHERY, INC.",132
"FUELCELL ENERGY, INC.",132
GEO SEMICONDUCTOR INC.,132
"NOVATEL WIRELESS, INC.",132
"SUB-Q, INC.",132
TELEPHONICS CORPORATION,132
VICTOR EQUIPMENT COMPANY,132
ACTUANT CORP.,131
ACTUANT CORPORATION,131
APPLIED POWER INC.,131
APPLIED POWER INC. (N/K/A ACTUANT CORPORATION),131
"COMVERGE, INC.",131
"ELECTRO-MOTIVE DIESEL, INC.",131
ENGINEEED SOLUTIONS LP,131
"GARDNER BENDER, INC. (N/K/A GB TOOLS AND SUPPLIES, INC.)",131
"GB ELECTRIC, INC.",131
"GB ELECTRICAL, INC. (N/K/A GB TOOLS AND SUPPLIES, INC.)",131
"GB TOOLS AND SUPPLIES, INC.",131
"GD FINANCE CO, LLC",131
GODADDY MEDIA TEMPLE INC.,131
"GODADDY.COM, LLC",131
LANTIRN INCORPORATED,131
OUTERWALL INC.,131
PITNEY BOWES GLOBAL LOGISTICS LLC,131
"PITNEY BOWES, INC.",131
"POYNT, LLC",131
SOLSKYN PERSONAL CARE LLC,131
"THERAPEUTICSMD, INC.",131
"VERSA TECHNOLOGIES, INC.",131
"ASYST TECHNOLOGIES, INC.",130
"CHESTER VALLEY PHARMACEUTICALS, LLC",130
"GRACEWAY PHARMACEUTICALS, LLC",130
HARRIS IT SERVICES CORPORATION,130
"SHIPPINGEASY GROUP, INC.",130
"WELLS FARGO FOOTHILL CAPITAL, INC.",130
"APOLLO ENDOSURGERY US, INC.",129
"GENESYS TELECOMMUNICATIONS LABORATORIES, INC.",129
"GLEASON WORKS, THE",129
PREGIS INNOVATIVE PACKAGING INC.,129
SURGICAL SPECIALTIES CORPORATION,129
WESTFALIA-AUTOMOTIVE GMBH,129
XOMA TECHNOLOGY LTD.,129
ALCOA USA CORP.,128
"AMRI RENSSELAER, INC.",128
CHROMALLOY GAS TURBINE LLC,128
COOPER STANDARD AUTOMOTIVE INC.,128
"EPIZYME, INC.",128
"GERBER COBURN OPTICAL, INC., A CONNECTICUT CORPORATION.",128
"GERBER SCIENTIFIC INTERNATIONAL, INC. (AS SUCCESSOR IN INTEREST TO GERBER TECHNOLOGY, INC.",128
"GERBER SCIENTIFIC PRODUCTS, INC., A CONNECTICUT CORPORATION",128
ROBERTSHAW CONTROLS COMPANY A CORP. OF DELAWARE,128
"ROXIO, INC.",128
"BAROID CORPORATION, A CORP. OF DE.",127
"BOLLÉ AMERICA, INC.",127
BOLLÉ INC.,127
CAMELBAK ACQUISITION CORP.,127
"GERBER COBURN OPTICAL INTERNATIONAL, INC.",127
"GERBER COBURN OPTICAL, INC.",127
GERBER TECHNOLOGY VENTURE COMPANY,127
GERBER VENTURE CAPITAL CORPORATION,127
"GLOBALTRAK, LLC",127
"INTARCIA THERAPEUTICS, INC.",127
"JIMMY STYKS, LLC",127
LUMILEDS LLC,127
"NAVISTAR, INC.",127
NUMEREX CORP.,127
"OPT HOLDINGS, INC.",127
QUANTUM DOT CORPORATION,127
"SAVAGE SPORTS HOLDINGS, INC.",127
VISTA COMMERCIAL AMMUNITION COMPANY INC.,127
VISTA COMMERCIAL AMMUNITION HOLDINGS COMPANY INC.,127
"AXLETECH INTERNATIONAL IP HOLDINGS, LLC",126
"BANDERA ACQUISITION, LLC",126
BINKS SAMES CORPORATION,126
DIODES INCORPORATED,126
KIK CUSTOM PRODUCTS INC.,126
"MCC-DEC TECH, LLC",126
"REMY INTERNATIONAL, INC.",126
"AMRI BOTHELL RESEARCH CENTER, INC.",125
"DRS SENSORS & TARGETING SYSTEMS, INC.",125
"NETWORK EQUIPMENT TECHNOLOGIES, INC.",125
SANMINA CORPORATION,125
"SENSEONICS HOLDINGS, INC.",125
"SONUS FEDERAL, INC.",125
"SONUS INTERNATIONAL, INC.",125
AMCOL INTERNATIONAL CORPORATION,124
"BIOJECT, INC.",124
"LAMSON & SESSIONS CO., THE",124
"MOLECULAR INSIGHT PHARMACEUTICALS, INC.",124
AMERON INTERNATIONAL CORPORATION,123
CELANESE INTERNATIONAL CORPORATION,123
"COHERUS BIOSCIENCES, INC.",123
COHERUS INTERMEDIATE CORP.,123
"EXACTECH, INC.",123
"FIRST NATIONAL BANK OF CHICAGO, THE",123
INTEKRIN THERAPEUTICS INC.,123
"PERFORMANCE TECHNOLOGIES, INCORPORATED",123
"STARTRAK INFORMATION TECHNOLOGIES, LLC",123
"WATER PIK, INC.",123
AMPAC FINE CHEMICALS LLC,122
"APPLICA CONSUMER PRODUCTS, INC.",122
"AVINTIV SPECIALTY MATERIALS, INC.",122
CRIMSON CORPORATION,122
"DEVICOR MEDICAL PRODUCTS, INC.",122
"DISPLAY INDUSTRIES, LLC",122
DRUGTECH CORPORATION,122
"DURATEK SERVICES, INC.",122
"ELIZABETH ARDEN, INC.",122
"HORTONWORKS, INC.",122
IMO INDUSTRIES INC.,122
SMURFIT-STONE CONTAINER CORPORATION,122
"SMURFIT-STONE CONTAINER ENTERPRISES, INC.",122
XM SATELLITE RADIO INC.,122
ADVANCED GLASSFIBER YARNS LLC,121
"AFMEDICA, INC.",121
"AIRMAGNET, INC.",121
"ARBOR NETWORKS, INC.",121
C.P. WITTER LIMITED,121
FAIRCHILD HOLDING CORP.,121
GCP APPLIED TECHNOLOGIES INC.,121
KELCO COMPANY,121
"NETSCOUT SYSTEMS TEXAS, LLC",121
NXP B.V.,121
PERATON INC.,121
POLY-BOND INC.,121
"SENSATA TECHNOLOGIES MASSACHUSETTS, INC.",121
SIRIUS XM CONNECTED VEHICLE SERVICES INC.,121
"CLOUDERA, INC.",120
"ESCREEN, INC.",120
FERRO ELECTRONIC MATERIALS INC.,120
GROVE U.S. L.L.C.,120
INTERNATIONAL HARVESTER COMPANY,120
LIFETOUCH INC.,120
MRH METERS LLC,120
PRINCE MINERALS LLC,120
AEROSONIC LLC (F/K/A AEROSONIC CORPORATION),119
AFI LICENSING LLC,119
AIRBORNE SYSTEMS OF NORTH AMERICA OF NJ INC.,119
"ALERE CONNECT, LLC",119
"ALERE SAN DIEGO, INC. (FKA BIOSITE INC. OR FKA CHOLESTECH CORP. OR FKA HEMOSENSE INC. OR FKA INVERNESS MEDICAL-BIOSTAR INC. OR FKA ISCHEMIA TECHNOLOGIES, INC. OR FKA TWISTDX, INC.)",119
"ALERE SCARBOROUGH, INC. (FKA MATRITECH, INC. FKA ADVANTAGE DIAGNOSTICS CORP. OR FKA BINAX, INC. OR FKA MILANO ACQUISITION CORP.)",119
BREEZE-EASTERN LLC (F/K/A BREEZE-EASTERN CORPORATION),119
"CEF INDUSTRIES, LLC (F/K/A CEF INDUSTRIES, INC.)",119
"DIGITAL RIVER, INC.",119
"ELECTROMECH TECHNOLOGIES LLC (F/K/A WESTERN SKY, INDUSTRIES, LLC)",119
"ESSEX TECHNOLOGY, INC.",119
FTI CONSULTING TECHNOLOGY LLC,119
"GENERAL ELECTRIC CAPITAL CORPORATION, AS RETIRING ADMINISTRATIVE AGENT",119
GLOFISH LLC,119
"HARCOSEMCO LLC (F/K/A HARCO LABORATORIES, INCORPORATED) (F/K/A HARCO LLC)",119
"INNOVACON, INC. (FKA APPLIED BIOTECH, INC. OR FKA AMEDITECH INC.)",119
"IONIAN TECHNOLOGIES, LLC (FKA IONIAN TECHNOLOGIES, INC.)",119
"KRATON CHEMICAL, LLC F/K/A ARIZONA CHEMICAL COMPANY, LLC",119
KRATON CORPORATION,119
LINEAGE POWER CORPORATION,119
OMNILINK SYSTEMS INC.,119
"ORTHO-CLINICAL DIAGNOSTICS, INC",119
"PALOMAR MEDICAL TECHNOLOGIES, LLC",119
QUALITY ASSURED SERVICES INC. (FKA ZYCARE INC.),119
"SHIELD RESTRAINT SYSTEMS, INC. (F/K/A AMSAFE COMMERCIAL PRODUCTS INC.) (F/K/A BEAM'S INDUSTRIES, INC.)",119
"STANDING STONE, LLC",119
"TEREX SOUTH DAKOTA, INC.",119
"TEREX USA, LLC",119
UNOVA IP CORP.,119
"AEROHIVE NETWORKS, INC.",118
"AI ENTERPRISES, INC.",118
"CRANE & CO., INC.",118
"ENTRUST, INC.",118
IPASS INC.,118
KEY TRONIC CORPORATION,118
LUMINATOR HOLDING L.P.,118
"RI PROPERTIES, INC.",118
STAAR SURGICAL COMPANY,118
WABASH NATIONAL CORPORATION,118
CROWN TECHNOLOGIES PACKAGING CORPORATION,117
"DC SHOES, INC.",117
FLOWSERVE MANAGEMENT COMPANY,117
LIFETOUCH NATIONAL SCHOOL STUDIOS INC.,117
ZIGHT CORPORATION,117
ASTRONICS CONNECTIVITY SYSTEMS & CERTIFICATION CORP.,116
ASTRONICS CORPORATION,116
ASTRONICS TEST SYSTEMS INC.,116
"BOLLE AMERICA, INC.",116
CHROMAFLO TECHNOLOGIES CORPORATION,116
"CRANE SECURITY TECHNOLOGIES, INC.",116
DIAGNOSYS INC.,116
LGS INNOVATIONS LLC,116
"LUMINESCENT SYSTEMS, INC.",116
"PECO, INC.",116
PRINCE ENERGY LLC,116
PRINCE SPECIALTY PRODUCTS LLC,116
"SPENCE ENGINEERING COMPANY, INC.",116
ACLARA TECHNOLOGIES LLC,115
ANGEION CORPORATION,115
AUDIOVOX ELECTRONICS CORPORATION,115
"DELL INTERNATIONAL, L.L.C.",115
"DOLE FOOD COMPANY, INC.",115
"ERGOTRON, INC.",115
GENERAL ELECTRIC CAPITAL CORPORATION,115
"IMATX, INC.",115
SRI DELAWARE HOLDINGS LLC,115
SRI HOLDINGS US LLC,115
"T-NETIX, INC.",115
AUDIOVOX CORPORATION,114
"BBH, INC.",114
"BOOKHAM TECHNOLOGY, PLC",114
"CLOVER NETWORKS, INC.",114
"CORDIS LEADS, INC., A CORP. OF DE",114
CRAY INC.,114
"EMISPHERE TECHNOLOGIES, INC.",114
"KODAK PHILIPPINES, LTD",114
LUNA INNOVATIONS INCORPORATED,114
"MEASUREMENT SPECIALTIES, INC.",114
"PORT AUTHORITY TECHNOLOGIES, INC.",114
"RAYTHEON CYBER PRODUCTS, LLC (FORMERLY KNOWN AS RAYTHEON CYBER PRODUCTS, INC.)",114
"RAYTHEON OAKLEY SYSTEMS, LLC",114
SMITH & WESSON CORP.,114
"W/S PACKAGING GROUP, INC.",114
AFTON CHEMICAL CORPORATION,113
BEL FUSE INC.,113
"COOPER COMPANIES, INC., THE",113
"DRAW-TITE, INC.",113
"FULTON PERFORMANCE PRODUCTS, INC.",113
KODAK (NEAR EAST). INC.,113
LAKE ERIE SCREW CORPORATION,113
LAMONS METAL GASKET CO.,113
MALLINCKRODT LLC,113
"PLASTIC FORM, INC.",113
"PRESSTEK, INC.",113
"REESE PRODUCTS, INC.",113
"RESKA SPLINE PRODUCTS, INC.",113
0741693 BRITISH COLUMBIA LTD.,112
"APG, INC.",112
BRIDPORT ERIE AVIATION,112
CROMPTON CORPORATION,112
"CYDEX PHARMACEUTICALS, INC.",112
"DOLE FRESH VEGETABLES, INC.",112
HEADWATERS INCORPORATED,112
LIGAND PHARMACEUTICALS INCORPORATED,112
MARIETTA CORPORATION,112
"METABASIS THERAPEUTICS, INC.",112
"MILTON ROY, LLC",112
NATIONAL MANUFACTURING CO.,112
NEUCOLL INC.,112
NORTHROP GRUMMAN COMMERCIAL AIRCRAFT COMPANY,112
PFENEX INC.,112
"PROGENICS PHARMACEUTICALS, INC.",112
PROXIM WIRELESS CORPORATION,112
Q SQUARED SOLUTIONS HOLDINGS LLC,112
SEAGATE REMOVABLE STORAGE SOLUTIONS LLC,112
"VAC HOLDINGS II, INC.",112
"VAC INDUSTRIES, INC.",112
"ANACOMP, INC.",111
"BABCOCK & WILCOX POWER GENERATION GROUP, INC.",111
BAUSCH HEALTH IRELAND LIMITED,111
"KRONOS ADVANCED TECHNOLOGIES, INC.",111
"NCONTACT SURGICAL, LLC",111
SPECTRUM BRANDS PET GROUP INC.,111
SPECTRUM BRANDS PET LLC,111
"AMERICAN SCIENCE AND ENGINEERING, INC.",110
"BARRACUDA NETWORKS, INC.",110
"CINCINNATI MACHINE, LLC",110
"CRYOLIFE, INC.",110
"GRIFFIN TECHNOLOGY, LLC",110
