or_name,freq
QUANTUM CORPORATION,3341
"TWITTER, INC.",3339
"BELL NORTHERN RESEARCH, LLC",3299
"BELL SEMICONDUCTOR, LLC",3299
"HILCO PATENT ACQUISITION 56, LLC",3299
LEAR CORPORATION,3295
"WSOU INVESTMENTS, LLC",3282
MAXTOR CORPORATION,3251
CORTLAND CAPITAL MARKET SERVICES LLC,3192
SEAGATE TECHNOLOGY INTERNATIONAL,3182
NEWPORT CORPORATION,3113
"ENTEGRIS, INC.",3055
"II-VI DELAWARE, INC.",3039
II-VI INCORPORATED,3039
"II-VI PHOTONICS (US), INC.",3039
"M CUBED TECHNOLOGIES, INC.",3039
"PHOTOP TECHNOLOGIES, INC.",3039
"SEMICONDUCTOR COMPONENTS INDUSTRIES, LLC",3037
CALLAWAY GOLF COMPANY,2991
"MKS INSTRUMENTS, INC.",2876
ALCATEL-LUCENT USA INC.,2824
VERITAS US IP HOLDINGS LLC,2814
"AMKOR TECHNOLOGY, INC.",2802
LUCENT TECHNOLOGIES INC. (DE CORPORATION),2802
"HOLOGIC, INC.",2671
CIENA CORPORATION,2669
AVAYA TECHNOLOGY LLC,2622
"TRAVISMATHEW, LLC",2616
"VIASAT, INC.",2597
"CHARTER COMMUNICATIONS OPERATING, LLC",2561
"ZANG, INC.",2558
FEDERAL CARTRIDGE COMPANY,2555
GEN-PROBE INCORPORATED,2468
"SYMBOL TECHNOLOGIES, INC.",2466
"ALLEN MEDICAL SYSTEMS, INC.",2463
"HILL-ROM SERVICES, INC.",2463
"WELCH ALLYN, INC.",2463
"BRIGHT HOUSE NETWORKS, LLC",2416
"CARESTREAM HEALTH, INC.",2402
CYTYC CORPORATION,2364
INTERSIL CORPORATION,2355
"WESTERN DIGITAL (FREMONT), LLC",2328
WMS GAMING INC.,2266
BRUNSWICK CORPORATION,2237
"LASER BAND, LLC",2233
LUND BOAT COMPANY,2217
"BOSTON WHALER, INC.",2215
"BRUNSWICK LEISURE BOAT COMPANY, LLC",2215
TIME WARNER CABLE ENTERPRISES LLC,2186
"POCO GRAPHITE, INC.",2153
HERCULES INCORPORATED,2093
"DIEBOLD NIXDORF, INCORPORATED",2080
"EAGLE INDUSTRIES UNLIMITED, INC.",2078
"SUROS SURGICAL SYSTEMS, INC.",2044
"VC AVIATION SERVICES, LLC",2025
VISTEON CORPORATION,2025
VISTEON ELECTRONICS CORPORATION,2025
"VISTEON GLOBAL TREASURY, INC.",2025
"VISTEON INTERNATIONAL BUSINESS DEVELOPMENT, INC.",2025
"VISTEON INTERNATIONAL HOLDINGS, INC.",2025
"VISTEON SYSTEMS, LLC",2025
ATTWOOD CORPORATION,2023
BRUNSWICK BOWLING & BILLIARDS CORPORATION,2023
BRUNSWICK FAMILY BOAT CO. INC.,2023
"LAND 'N' SEA DISTRIBUTING, INC.",2023
MOMENTIVE PERFORMANCE MATERIALS INC.,2018
"THIRD WAVE TECHNOLOGIES, INC.",2015
"BIOLUCENT, LLC",1988
EXAR CORPORATION,1986
ALLIANT TECHSYSTEMS INC.,1968
FEDERAL-MOGUL PRODUCTS US LLC,1963
BAUSCH & LOMB INCORPORATED,1950
"CALLAWAY GOLF BALL OPERATIONS, INC.",1946
"CALLAWAY GOLF INTERACTIVE, INC.",1946
CALLAWAY GOLF INTERNATIONAL SALES COMPANY,1946
CALLAWAY GOLF SALES COMPANY,1946
SPANSION INC.,1915
SPANSION TECHNOLOGY INC.,1911
SPANSION TECHNOLOGY LLC,1911
"COHERENT, INC.",1899
"CYTYC SURGICAL PRODUCTS, LIMITED PARTNERSHIP",1887
TRW AUTOMOTIVE U.S. LLC,1885
"CLOUD SOFTWARE GROUP, INC. (F/K/A TIBCO SOFTWARE INC.)",1882
LATTICE SEMICONDUCTOR CORPORATION,1873
AVINTIV SPECIALTY MATERIALS INC.,1868
"BERRY FILM PRODUCTS COMPANY, INC.",1868
"FIBERWEB, LLC",1868
"MORGAN STANLEY SENIOR FUNDING, INC.",1855
ACACIA RESEARCH GROUP LLC,1831
AMERICAN VEHICULAR SCIENCES LLC,1831
BONUTTI SKELETAL INNOVATIONS LLC,1831
CELLULAR COMMUNICATIONS EQUIPMENT LLC,1831
INNOVATIVE DISPLAY TECHNOLOGIES LLC,1831
LIFEPORT SCIENCES LLC,1831
LIMESTONE MEMORY SYSTEMS LLC,1831
MERTON ACQUISITION HOLDCO LLC,1831
MOBILE ENHANCEMENT SOLUTIONS LLC,1831
MONARCH NETWORKING SOLUTIONS LLC,1831
NEXUS DISPLAY TECHNOLOGIES LLC,1831
PARTHENON UNIFIED MEMORY ARCHITECTURE LLC,1831
R2 SOLUTIONS LLC,1831
SAINT LAWRENCE COMMUNICATIONS LLC,1831
STINGRAY IP SOLUTIONS LLC,1831
SUPER INTERCONNECT TECHNOLOGIES LLC,1831
TELECONFERENCE SYSTEMS LLC,1831
UNIFICATION TECHNOLOGIES LLC,1831
"BERRY GLOBAL FILMS, LLC",1826
"PLIANT, LLC",1817
"LYONDELL CHEMICAL TECHNOLOGY, L.P.",1810
SABIC INNOVATIVE PLASTICS IP B.V.,1807
"MAXLINEAR, INC.",1802
"GRAPHIC PACKAGING INTERNATIONAL, LLC",1797
SYNAPTICS INCORPORATED,1761
ZIH CORP.,1759
POLAROID CORPORATION,1756
FAIRCHILD SEMICONDUCTOR CORPORATION,1735
"ELECTRO SCIENTIFIC INDUSTRIES, INC.",1720
ZEBRA ENTERPRISE SOLUTIONS CORP.,1690
BPREX HEALTHCARE PACKAGING INC.,1686
"DANA AUTOMOTIVE SYSTEMS GROUP, LLC",1685
"DANA HEAVY VEHICLE SYSTEMS GROUP, LLC",1685
DANA LIMITED,1685
NATIONAL INSTRUMENTS CORPORATION,1682
"GOODYEAR TIRE & RUBBER COMPANY, THE",1656
"ALLEN TELECOM LLC, A DELAWARE LLC",1647
"ANDREW LLC, A DELAWARE LLC",1647
AQUALON COMPANY,1633
"POLYCOM, INC.",1620
"TOPGOLF INTERNATIONAL, INC.",1612
"WORLD GOLF TOUR, LLC",1612
"CURRENT LIGHTING SOLUTIONS, LLC",1606
"ASPEN SURGICAL PRODUCTS, INC.",1598
"GRAPHIC PACKAGING INTERNATIONAL, INC.",1595
SG GAMING INC.,1559
"BRUNSWICK COMMERCIAL & GOVERNMENT PRODUCTS, INC.",1545
"DIRECTV, LLC",1538
FEDERAL-MOGUL IGNITION COMPANY,1521
FEDERAL-MOGUL LLC,1521
"FEDERAL-MOGUL PRODUCTS, INC.",1521
"CONEXANT SYSTEMS, INC.",1519
"MEMC ELECTRONIC MATERIALS, INC.",1519
FINISAR CORPORATION,1501
"KAILIGHT PHOTONICS, INC.",1501
OPTIUM CORPORATION,1501
TIME WARNER CABLE INTERNET LLC,1495
"AVAYA INC., A DELAWARE CORPORATION",1477
ACUSHNET COMPANY,1470
"COADNA PHOTONICS, INC.",1464
"EPIWORKS, INC.",1464
"II-VI OPTICAL SYSTEMS, INC.",1464
"II-VI OPTOELECTRONIC DEVICES, INC.",1464
"LIGHTSMYTH TECHNOLOGIES, INC.",1464
"MARLOW INDUSTRIES, INC.",1464
CHRYSLER LLC,1450
AVAYA TECHNOLOGY CORP.,1426
"COMMVAULT SYSTEMS, INC.",1416
DISH BROADCASTING CORPORATION,1406
DISH NETWORK L.L.C.,1406
DISH TECHNOLOGIES L.L.C.,1406
COPELAND LP,1404
"BERRY GLOBAL, INC.",1394
SOLUTIA INC.,1392
"LEXMARK INTERNATIONAL, INC.",1379
DEUTSCHE BANK TRUST COMPANY AMERICAS,1376
"ELECTRICAL RELIABILITY SERVICES, INC.",1375
HIGH PRESSURE INTEGRITY INC.,1365
PRECISION ENERGY SERVICES INC.,1365
WEATHERFORD TECHNOLOGY HOLDINGS LLC,1365
"ARCSIGHT, LLC",1358
ENTIT SOFTWARE LLC,1358
"TRITON BOAT COMPANY, L.P.",1353
CHRYSLER GROUP LLC,1349
"DIEBOLD NIXDORF, INCORPORATED (F/K/A DIEBOLD, INCORPORATED)",1344
"PROVIDENCIA USA, INC.",1340
AVAYA INTEGRATED CABINET SOLUTIONS INC.,1338
OCTEL COMMUNICATIONS CORPORATION,1338
"SAVAGE ARMS, INC.",1327
"SAVAGE RANGE SYSTEMS, INC.",1327
GREATBATCH LTD.,1310
"BIO-LAB, INC.",1309
"ADVANCED TECHNOLOGY MATERIALS, INC.",1302
"ATMI PACKAGING, INC.",1302
"ATMI, INC.",1302
VERITAS TECHNOLOGIES LLC,1297
"SOLENIS TECHNOLOGIES, L.P.",1296
"BALLY GAMING, INC",1282
"DIEBOLD NIXDORF, INCORPORATED, AS GRANTOR",1280
DIEBOLD SELF-SERVICE SYSTEMS,1280
"DIEBOLD SELF-SERVICE SYSTEMS, AS GRANTOR",1280
"HOMECARE LABS, INC.",1280
"SILICON GRAPHICS, INC.",1279
"DANA AUTOMOTIVE AFTERMARKET, INC.",1276
"DANA COMMERCIAL VEHICLE MANUFACTURING, LLC",1276
"DANA COMMERCIAL VEHICLE PRODUCTS, LLC",1276
"DANA DRIVESHAFT MANUFACTURING, LLC",1276
"DANA DRIVESHAFT PRODUCTS, LLC",1276
"DANA GLOBAL PRODUCTS, INC.",1276
DANA HOLDING CORPORATION,1276
"DANA LIGHT AXLE MANUFACTURING, LLC",1276
"DANA LIGHT AXLE PRODUCTS, LLC",1276
"DANA OFF HIGHWAY PRODUCTS, LLC",1276
"DANA SEALING MANUFACTURING, LLC",1276
"DANA SEALING PRODUCTS, LLC",1276
"DANA STRUCTURAL MANUFACTURING, LLC",1276
"DANA STRUCTURAL PRODUCTS, LLC",1276
"DANA THERMAL PRODUCTS, LLC",1276
DANA WORLD TRADE CORPORATION,1276
DTF TRUCKING INC.,1276
"SPICER HEAVY AXLE & BRAKE, INC.",1276
"CONDUENT BUSINESS SERVICES, LLC",1263
HEWLETT PACKARD ENTERPRISE COMPANY,1263
HEWLETT PACKARD ENTERPRISE DEVELOPMENT LP,1263
"TERADYNE, INC.",1262
"GOPRO, INC.",1256
SAVAGE SPORTS CORPORATION,1251
"JPMORGAN CHASE BANK, N.A., AS ADMINISTRATIVE AGENT",1233
CHEMTURA CORPORATION,1227
GREAT LAKES CHEMICAL CORPORATION,1227
"FIELD CONTAINER QUERETARO (USA), L.L.C.",1224
"NUVASIVE, INC.",1209
"RIVERBED TECHNOLOGY, INC.",1207
KELSEY-HAYES COMPANY,1187
DIGITALOPTICS CORPORATION,1185
DIGITALOPTICS CORPORATION MEMS,1185
"DTS, LLC",1185
"ZIPTRONIX, INC.",1185
"QED TECHNOLOGIES INTERNATIONAL, INC.",1176
BUSHNELL INC.,1175
"BUSHNELL HOLDINGS, INC.",1170
"NIGHT OPTICS USA, INC.",1169
"PROVENANCE ASSET GROUP HOLDINGS, LLC",1168
VISTA OUTDOOR OPERATIONS LLC,1164
"DW HOLDINGS, INC.",1156
"LINKPOINT INTERNATIONAL, INC.",1156
"SIZE TECHNOLOGIES, INC.",1156
"TASQ TECHNOLOGY, INC.",1156
"SPIRIT AEROSYSTEMS, INC.",1154
SCIENCE INCORPORATED,1152
"VIVINT, INC.",1146
"FEDERAL-MOGUL WORLD WIDE, INC.",1143
"GEN-PROBE PRODESSE, INC.",1136
"EQUISTAR CHEMICALS, LP",1133
MICHAELS OF OREGON CO.,1124
"GOLD TIP, LLC",1122
MILLETT INDUSTRIES,1122
VISTA OUTDOOR INC.,1117
INVACARE CORPORATION,1116
"BIOLAB FRANCHISE COMPANY, LLC",1111
CROMPTON HOLDING CORPORATION,1111
"GREAT LAKES CHEMICAL GLOBAL, INC.",1111
"GT SEED TREATMENT, INC.",1111
"LAUREL INDUSTRIES HOLDINGS, INC.",1111
"RECREATIONAL WATER PRODUCTS, INC.",1111
WEBER CITY ROAD LLC,1111
"PRIME LABEL & SCREEN, INC.",1108
ADEMCO INC.,1103
ARMTEC DEFENSE PRODUCTS CO.,1102
OWENS-CORNING FIBERGLAS CORPORATION,1096
AVAYA CABINET SOLUTIONS LLC,1095
GENERAL MOTORS CORPORATION,1092
"ELECTROCHEM SOLUTIONS, INC.",1090
"SCIENTIFIC GAMES INTERNATIONAL, INC",1087
"CAMELBAK PRODUCTS, LLC",1082
"FORUM, INC.",1070
"HUBBELL LIGHTING, INC.",1070
KNOAHSOFT INC.,1070
LITECONTROL CORPORATION,1070
DIRECT RADIOGRAPHY CORP.,1067
